Fecha,Recuento Real,Predicción,Intervalo Inferior,Intervalo Superior,Desviación
2024-10-26,31,20.646273410397047,12.953628472222224,29.686482034632032,1
2024-10-26,14,23.284820746117134,12.52320156024531,30.588247612773937,1
2024-10-28,30,25.879602373492517,19.942399801587303,29.89945982142857,1
2024-10-28,39,36.14823366763142,22.690260301996982,45.147135814006205,1
2024-10-28,19,17.5639168141145,11.9728839008214,26.067493608474862,1
2024-10-28,6,5.05011900332124,1.9196030753968254,13.286261011904763,1
2024-10-29,35,39.508315141296315,26.384365842490844,54.58892767857142,1
2024-10-29,1,28.490103285880785,19.520134145021643,40.819752029220766,1
2024-10-29,16,21.812916849420265,13.404810515873017,31.563999391580637,1
2024-10-29,47,44.99282011319766,27.43138333333334,61.839744264069246,1
2024-10-30,13,12.890216640894334,7.815744805194807,19.186341025641024,1
2024-10-30,7,12.83297095154846,7.0945824404761915,20.397592397186138,1
